4.614001,3221.571349,397860.883552,100865.978319,7009.666657,56.758888,1777.095749
7.124109,3856.350017,855484.140871,163621.971795,13776.019229,62.099517,2634.834852
5.231092,2381.612705,234824.861781,81870.238909,4811.810397,48.801769,1677.608000
5.546240,2789.896514,457935.853601,103328.901270,8669.830371,52.819471,1956.265358
5.819401,3512.550911,391293.038558,121926.616802,6602.232402,59.266777,2057.250656
7.826657,4921.665327,1800713.940160,230600.583663,25667.802411,70.154582,3287.035262
7.227013,5632.868052,3034059.370574,261101.934896,40425.861685,75.052435,3478.926882
6.868569,5467.321988,2678058.573497,242745.251146,36218.690625,73.941342,3282.943562
2.344595,5892.664660,723361.252776,90006.585453,9423.221038,76.763694,1172.515042
3.006465,6194.177137,796667.032720,105537.851028,10122.435901,78.703095,1340.961893
5.664556,3976.079628,529462.357186,135031.314715,8396.679028,63.056162,2141.445172
16.687682,6554.670361,4049408.270354,571800.469482,50016.827059,80.960919,7062.672688
1.016726,984.881282,43912.523571,17462.956402,1399.253668,31.382818,556.449591
1.470553,1271.400938,60162.616931,25165.404121,1687.273381,35.656710,705.769108
4.952295,2708.121570,542286.024241,98500.113799,10420.638588,52.039615,1892.790964
