4.7993244935,7009.6666568027,56.7588878375,1777.0957494494
6.9111312072,13776.0192290142,62.0995170411,2634.8348520387
5.303036182,4811.8103966761,48.8017694843,1677.6080001543
5.8600595382,8669.8303710276,52.8194709704,1956.2653576813
5.4135162162,6602.232402376,59.2667774641,2057.2506557438
7.5417335414,25667.8024113645,70.1545816545,3287.0352616293
7.132583715,40425.8616853269,75.0524353492,3478.9268820007
7.0698644092,36218.6906251931,73.9413415358,3282.9435618086
2.3991495179,9423.2210376822,76.7636936334,1172.5150418525
2.9524297992,10122.4359013431,78.7030948365,1340.9618928849
6.0397415298,8396.6790282974,63.0561624902,2141.4451717671
16.7319858017,50016.8270592835,80.9609187235,7062.6726882278
1.429859399,1399.2536679367,31.3828182674,556.4495913983
0.8402217142,1687.2733814058,35.6567095732,705.7691083194
4.9753145247,10420.6385877935,52.0396153913,1892.7909643215
